url,session,start,end
https://www.formula1.com/en/racing/2022/Belgium.html,Practice 1,2022-08-26T12:00:00Z,2022-08-26T13:00:00Z
https://www.formula1.com/en/racing/2022/Belgium.html,Practice 2,2022-08-26T15:00:00Z,2022-08-26T16:00:00Z
https://www.formula1.com/en/racing/2022/Belgium.html,Practice 3,2022-08-27T11:00:00Z,2022-08-27T12:00:00Z
https://www.formula1.com/en/racing/2022/Belgium.html,Qualifying,2022-08-27T14:00:00Z,2022-08-27T15:00:00Z
https://www.formula1.com/en/racing/2022/Belgium.html,Race,2022-08-28T13:00:00Z,2022-08-28T15:00:00Z
https://www.formula1.com/en/racing/2022/Netherlands.html,Practice 1,2022-09-02T10:30:00Z,2022-09-02T11:30:00Z
https://www.formula1.com/en/racing/2022/Netherlands.html,Practice 2,2022-09-02T14:00:00Z,2022-09-02T15:00:00Z
https://www.formula1.com/en/racing/2022/Netherlands.html,Practice 3,2022-09-03T10:00:00Z,2022-09-03T11:00:00Z
https://www.formula1.com/en/racing/2022/Netherlands.html,Qualifying,2022-09-03T13:00:00Z,2022-09-03T14:00:00Z
https://www.formula1.com/en/racing/2022/Netherlands.html,Race,2022-09-04T13:00:00Z,2022-09-04T15:00:00Z
https://www.formula1.com/en/racing/2022/Italy.html,Practice 1,2022-09-09T12:00:00Z,2022-09-09T13:00:00Z
https://www.formula1.com/en/racing/2022/Italy.html,Practice 2,2022-09-09T15:00:00Z,2022-09-09T16:00:00Z
https://www.formula1.com/en/racing/2022/Italy.html,Practice 3,2022-09-10T11:00:00Z,2022-09-10T12:00:00Z
https://www.formula1.com/en/racing/2022/Italy.html,Qualifying,2022-09-10T14:00:00Z,2022-09-10T15:00:00Z
https://www.formula1.com/en/racing/2022/Italy.html,Race,2022-09-11T13:00:00Z,2022-09-11T15:00:00Z
https://www.formula1.com/en/racing/2022/Singapore.html,Practice 1,2022-09-30T10:00:00Z,2022-09-30T11:00:00Z
https://www.formula1.com/en/racing/2022/Singapore.html,Practice 2,2022-09-30T13:00:00Z,2022-09-30T14:00:00Z
https://www.formula1.com/en/racing/2022/Singapore.html,Practice 3,2022-10-01T10:00:00Z,2022-10-01T11:00:00Z
https://www.formula1.com/en/racing/2022/Singapore.html,Qualifying,2022-10-01T13:00:00Z,2022-10-01T14:00:00Z
https://www.formula1.com/en/racing/2022/Singapore.html,Race,2022-10-02T12:00:00Z,2022-10-02T14:00:00Z
https://www.formula1.com/en/racing/2022/Japan.html,Practice 1,2022-10-07T03:00:00Z,2022-10-07T04:00:00Z
https://www.formula1.com/en/racing/2022/Japan.html,Practice 2,2022-10-07T06:00:00Z,2022-10-07T07:00:00Z
https://www.formula1.com/en/racing/2022/Japan.html,Practice 3,2022-10-08T03:00:00Z,2022-10-08T04:00:00Z
https://www.formula1.com/en/racing/2022/Japan.html,Qualifying,2022-10-08T06:00:00Z,2022-10-08T07:00:00Z
https://www.formula1.com/en/racing/2022/Japan.html,Race,2022-10-09T05:00:00Z,2022-10-09T07:00:00Z
https://www.formula1.com/en/racing/2022/United_States.html,Practice 1,2022-10-21T19:00:00Z,2022-10-21T20:00:00Z
https://www.formula1.com/en/racing/2022/United_States.html,Practice 2,2022-10-21T22:00:00Z,2022-10-21T23:00:00Z
https://www.formula1.com/en/racing/2022/United_States.html,Practice 3,2022-10-22T19:00:00Z,2022-10-22T20:00:00Z
https://www.formula1.com/en/racing/2022/United_States.html,Qualifying,2022-10-22T22:00:00Z,2022-10-22T23:00:00Z
https://www.formula1.com/en/racing/2022/United_States.html,Race,2022-10-23T19:00:00Z,2022-10-23T21:00:00Z
https://www.formula1.com/en/racing/2022/Mexico.html,Practice 1,2022-10-28T18:00:00Z,2022-10-28T19:00:00Z
https://www.formula1.com/en/racing/2022/Mexico.html,Practice 2,2022-10-28T21:00:00Z,2022-10-28T22:00:00Z
https://www.formula1.com/en/racing/2022/Mexico.html,Practice 3,2022-10-29T17:00:00Z,2022-10-29T18:00:00Z
https://www.formula1.com/en/racing/2022/Mexico.html,Qualifying,2022-10-29T20:00:00Z,2022-10-29T21:00:00Z
https://www.formula1.com/en/racing/2022/Mexico.html,Race,2022-10-30T20:00:00Z,2022-10-30T22:00:00Z
https://www.formula1.com/en/racing/2022/Brazil.html,Practice 1,2022-11-11T15:30:00Z,2022-11-11T16:30:00Z
https://www.formula1.com/en/racing/2022/Brazil.html,Practice 2,2022-11-12T15:30:00Z,2022-11-12T16:30:00Z
https://www.formula1.com/en/racing/2022/Brazil.html,Sprint,2022-11-12T19:30:00Z,2022-11-12T20:30:00Z
https://www.formula1.com/en/racing/2022/Brazil.html,Qualifying,2022-11-11T19:00:00Z,2022-11-11T20:00:00Z
https://www.formula1.com/en/racing/2022/Brazil.html,Race,2022-11-13T18:00:00Z,2022-11-13T20:00:00Z
https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html,Practice 1,2022-11-18T10:00:00Z,2022-11-18T11:00:00Z
https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html,Practice 2,2022-11-18T13:00:00Z,2022-11-18T14:00:00Z
https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html,Practice 3,2022-11-19T11:00:00Z,2022-11-19T12:00:00Z
https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html,Qualifying,2022-11-19T14:00:00Z,2022-11-19T15:00:00Z
https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html,Race,2022-11-20T13:00:00Z,2022-11-20T15:00:00Z
